#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1743989195868245000,0.0007989726727828383,0.0035953770857304335,-0.0005326484679244459,-0.48021674156188965,0.5017726421356201,-9.707324028015137
1743989195909373000,0.000932134804315865,0.0039948634803295135,-0.0019974317401647568,-0.44668540358543396,0.5257235765457153,-9.678583145141602
1743989195951299000,0.0,-0.0029295666608959436,0.003861701348796487,-0.45985841751098633,0.500575065612793,-9.69654655456543
1743989195990376000,0.0021305938716977835,-0.000932134804315865,0.0007989726727828383,-0.4790191948413849,0.4933897852897644,-9.680977821350098
1743989196032701000,0.0013316211989149451,0.0031958906911313534,0.002396918134763837,-0.45985841751098633,0.4718339145183563,-9.695348739624023
1743989196073381000,0.0011984590673819184,0.0017311074770987034,-0.000932134804315865,-0.44668540358543396,0.4670437276363373,-9.700139045715332
1743989196115532000,0.00026632423396222293,-0.002796404529362917,0.004660673905164003,-0.48859959840774536,0.48021674156188965,-9.70971965789795
1743989196155514000,-0.00372853921726346,-0.0054596466943621635,0.00186426960863173,-0.47422900795936584,0.4874020218849182,-9.698941230773926
1743989196196616000,0.0026632423978298903,0.0010652969358488917,-0.002396918134763837,-0.4610559940338135,0.48380938172340393,-9.70492935180664
1743989196235506000,0.0,0.00226375600323081,-0.0010652969358488917,-0.4658461809158325,0.4574633240699768,-9.702533721923828
1743989196276921000,0.00013316211698111147,-0.0011984590673819184,0.0011984590673819184,-0.4550682306289673,0.505365252494812,-9.710916519165039
1743989196318157000,0.00013316211698111147,-0.0019974317401647568,0.0035953770857304335,-0.45027804374694824,0.4778216481208801,-9.708521842956543
1743989196358132000,0.0005326484679244459,0.002396918134763837,-0.00372853921726346,-0.463451087474823,0.4969824254512787,-9.733670234680176
1743989196398289000,-0.00013316211698111147,-0.0010652969358488917,0.00026632423396222293,-0.4550682306289673,0.5017726421356201,-9.713312149047852
1743989196437458000,0.0005326484679244459,0.00026632423396222293,-0.002796404529362917,-0.43231484293937683,0.4909946918487549,-9.70971965789795
